"time_window","link_100","link_101","link_102","link_103","link_104","link_105","link_106","link_107","link_108","link_109","link_110","link_111","link_112","link_113","link_114","link_115","link_116","link_117","link_118","link_119","link_120","link_121","link_122","link_123"
"[2016-07-29 01:20:00,2016-07-29 01:40:00)","7.39","0","0","4.52","0","12.87","0","6.14","4.14","0","13.36","102.02","0","0","0","0","0","42.58","0","0","0.69","0","244.81","6.29"
"[2016-07-29 01:40:00,2016-07-29 02:00:00)","7.91","0","0","3.19","0","13.7","0","2.15","2.37","0","8.15","82.15","0","0","11.81","0","0","0","18.44","0.54","0","0","50.05","3.87"
"[2016-07-29 02:00:00,2016-07-29 02:20:00)","0","0","0","0","0","0","0","3.31","4.61","0","11.33","0","0","0","15.35","0","0","59.16","17.79","0.8","0.81","0","30.24","5.67"
"[2016-07-29 02:20:00,2016-07-29 02:40:00)","6.18","6.95","0","13.29","0","8.32","1.97","3.38","3.98","0","10.34","41.04","0","20.19","0","0","16.06","124.58","0","0","0.6","11.71","43.2","5.87"
"[2016-07-29 02:40:00,2016-07-29 03:00:00)","7.17","8.59","5.67","2.94","18.83","12.03","1.94","2.61","3.26","10.74","7.51","54.44","15.96","29.53","15.84","9.71","20.16","12.95","26.82","0.72","0.57","10.6","44.7","4.27"
"[2016-07-29 03:00:00,2016-07-29 03:20:00)","10.94","10.8","13.17","2.83","26.65","18.98","2.59","3.4","7.02","10.76","13.25","223.11","37.03","62.14","11.88","14.06","18.98","29.47","19.99","0.73","0.96","20.34","46.61","5.97"
"[2016-07-29 03:20:00,2016-07-29 03:40:00)","7.57","8.05","0","26.07","0","11.69","1.96","2.53","3.05","0","8.83","61.22","0","22.42","16.01","0","15.45","15.31","19.26","0.84","0.41","11.31","40.31","4.48"
"[2016-07-29 03:40:00,2016-07-29 04:00:00)","9.95","0","9.67","2.92","23.36","12.69","0","4.01","4.17","9.06","8.83","39.69","53.05","0","0","8.71","0","19.59","0","0","0.65","0","41.62","4.99"
"[2016-07-29 04:00:00,2016-07-29 04:20:00)","4.73","0","0","7.38","0","7.11","0","3.27","4.04","0","8.88","10.84","0","0","0","0","0","20.66","0","0","0.63","0","27.07","5.57"
"[2016-07-29 04:20:00,2016-07-29 04:40:00)","7.03","0","0","2.46","0","11.91","0","3.13","5.05","0","7.51","74.48","0","0","12.65","0","0","34.27","18.72","0.58","1.35","0","26.38","5.08"
"[2016-07-29 04:40:00,2016-07-29 05:00:00)","7.63","0","0","34.21","0","10.26","0","41.93","10.67","0","14.57","36.71","0","0","12.04","0","0","313.38","17.59","0.59","1.06","0","43.72","6.41"
"[2016-07-29 05:00:00,2016-07-29 05:20:00)","6.64","7.45","0","2.52","0","9.16","1.37","4.32","3.83","0","9.16","12.46","0","25.36","15.9","0","14.87","29.87","18.05","0.84","0.59","10.81","38.44","4.74"
"[2016-07-29 05:20:00,2016-07-29 05:40:00)","0","0","0","0","0","0","0","3.4","5.53","0","9.17","0","0","0","0","0","0","21.37","0","0","0.84","0","0","4.71"
"[2016-07-29 05:40:00,2016-07-29 06:00:00)","7.0","5.72","0","16.91","0","8.55","1.5","2.54","3.72","0","8.25","13.71","0","27.52","16.18","0","11.92","16.71","22.28","0.72","0.64","7.81","24.12","4.82"
"[2016-07-29 06:00:00,2016-07-29 06:20:00)","4.27","0","9.19","15.81","23.27","5.75","0","2.95","3.73","9.68","8.61","11.5","14.1","0","13.37","9.08","0","20.04","19.58","0.66","0.75","0","56.21","4.55"
"[2016-07-29 06:20:00,2016-07-29 06:40:00)","5.53","7.61","11.05","2.0","28.89","10.26","1.41","3.71","5.34","13.22","11.04","10.75","17.61","20.06","19.9","8.41","16.45","32.04","41.2","0.91","0.95","14.58","53.67","6.18"
"[2016-07-29 06:40:00,2016-07-29 07:00:00)","11.87","8.39","0","3.4","0","17.66","1.56","4.18","4.96","0","11.01","19.73","0","29.5","20.71","0","17.04","33.67","45.45","1.26","0.83","25.03","51.77","5.47"
"[2016-07-29 07:00:00,2016-07-29 07:20:00)","16.55","13.09","15.09","11.82","38.57","33.9","1.37","3.97","5.0","17.77","10.94","25.5","26.19","13.04","16.07","12.42","28.05","28.82","18.22","0.8","0.81","34.17","78.77","5.47"
"[2016-07-29 07:20:00,2016-07-29 07:40:00)","5.57","0","9.42","3.71","26.51","8.05","0","5.37","5.62","8.97","13.1","24.38","25.75","0","17.62","9.88","0","18.85","46.97","1.26","0.81","0","76.76","7.87"
"[2016-07-29 07:40:00,2016-07-29 08:00:00)","5.25","0","0","10.72","0","9.57","0","6.11","7.21","0","15.68","67.18","0","0","24.56","0","0","42.81","23.82","1.46","1.24","0","60.44","9.11"
"[2016-07-29 08:00:00,2016-07-29 08:20:00)","5.4","7.48","8.6","21.81","18.45","16.11","2.93","6.17","6.98","7.49","15.38","22.24","16.05","45.41","26.02","7.27","16.03","34.84","48.09","1.67","1.09","11.97","85.19","8.41"
"[2016-07-29 08:20:00,2016-07-29 08:40:00)","8.71","6.78","8.83","2.8","24.79","14.12","1.78","6.22","7.45","10.88","14.03","36.62","16.84","16.84","18.55","7.21","14.56","122.11","33.61","1.12","1.35","26.58","60.44","7.8"
"[2016-07-29 08:40:00,2016-07-29 09:00:00)","8.81","6.82","9.34","3.81","25.91","9.92","1.31","5.84","6.79","9.53","20.12","30.09","31.16","26.89","21.88","8.38","14.01","46.07","32.41","1.13","1.08","9.77","52.32","9.73"
"[2016-07-29 09:00:00,2016-07-29 09:20:00)","8.69","6.31","10.2","4.75","25.48","10.55","0.72","5.39","5.76","10.71","14.25","51.95","19.55","6.95","16.36","9.21","14.93","33.69","43.52","1.19","0.89","38.26","51.74","9.17"
"[2016-07-29 09:20:00,2016-07-29 09:40:00)","6.55","5.37","0","5.08","0","9.23","0.9","6.22","7.05","0","16.23","45.12","0","7.91","18.6","0","10.79","51.72","51.09","1.12","1.07","7.2","56.83","9.56"
"[2016-07-29 09:40:00,2016-07-29 10:00:00)","8.33","0","10.2","3.72","23.43","10.65","0","4.76","4.84","10.79","10.38","67.94","17.38","0","19.9","12.01","0","37.49","40.2","1.01","0.74","0","51.35","6.38"
"[2016-07-29 10:00:00,2016-07-29 10:20:00)","12.21","9.62","12.23","3.72","29.16","12.1","1.64","4.81","5.05","11.79","15.29","40.26","24.12","32.17","22.05","10.73","20.67","43.93","22.95","1.0","0.81","13.54","52.11","7.75"
"[2016-07-29 10:20:00,2016-07-29 10:40:00)","8.11","5.77","8.58","3.81","24.96","10.52","1.7","5.84","5.84","8.6","15.69","25.88","27.18","16.19","17.87","7.12","19.99","28.04","81.36","1.34","0.85","8.98","115.47","7.94"
"[2016-07-29 10:40:00,2016-07-29 11:00:00)","6.6","0","0","28.04","0","13.11","0","4.68","4.98","0","9.76","20.0","0","0","17.11","0","0","42.51","25.28","1.01","0.8","0","93.12","6.3"
"[2016-07-29 11:00:00,2016-07-29 11:20:00)","9.2","6.2","8.09","3.88","18.1","14.05","1.07","7.32","6.83","8.34","15.64","23.21","12.3","12.95","17.09","6.61","14.77","40.57","19.1","1.0","1.01","8.85","55.36","8.64"
"[2016-07-29 11:20:00,2016-07-29 11:40:00)","4.88","6.25","8.22","3.86","18.66","9.18","1.67","5.18","5.03","7.4","11.04","26.71","19.45","31.11","15.73","8.73","14.45","39.43","21.94","0.81","0.84","9.57","41.91","6.49"
"[2016-07-29 11:40:00,2016-07-29 12:00:00)","7.52","7.36","7.56","1.92","18.1","10.29","1.89","4.95","5.65","7.1","10.66","14.22","14.5","20.38","18.43","6.89","16.15","23.0","19.6","1.2","0.77","11.11","44.84","6.05"
"[2016-07-29 12:00:00,2016-07-29 12:20:00)","5.56","8.07","10.18","4.21","24.43","8.37","1.8","3.76","5.04","10.42","13.02","31.55","17.47","25.14","16.13","6.95","15.97","32.06","19.61","0.89","0.7","11.65","58.15","5.94"
"[2016-07-29 12:20:00,2016-07-29 12:40:00)","8.16","7.05","10.69","13.1","20.89","10.66","1.49","3.7","4.37","9.52","12.07","24.05","26.15","14.81","16.13","8.72","14.08","31.52","26.85","0.79","0.92","10.26","50.62","7.43"
"[2016-07-29 12:40:00,2016-07-29 13:00:00)","8.28","9.36","9.53","2.64","24.28","11.8","1.48","5.1","5.22","10.17","9.15","29.08","17.18","16.36","20.91","9.01","19.78","31.67","19.7","1.42","0.81","13.28","35.89","6.22"
"[2016-07-29 13:00:00,2016-07-29 13:20:00)","5.59","7.9","10.44","4.92","22.04","9.16","1.23","6.57","5.99","10.56","11.16","20.38","15.79","20.85","17.42","8.65","16.94","33.63","17.86","0.98","0.96","32.87","40.76","7.61"
"[2016-07-29 13:20:00,2016-07-29 13:40:00)","8.39","4.94","8.73","2.8","21.6","7.12","1.16","6.62","7.09","8.82","12.92","43.37","21.22","33.38","28.62","7.95","10.6","37.92","19.57","2.32","1.16","9.14","63.79","7.51"
"[2016-07-29 13:40:00,2016-07-29 14:00:00)","5.58","6.42","8.23","12.73","19.86","8.34","1.17","3.88","4.74","7.78","11.84","27.48","25.9","9.84","17.34","8.57","15.54","35.63","19.84","0.79","0.87","9.2","51.52","5.68"
"[2016-07-29 14:00:00,2016-07-29 14:20:00)","8.9","10.8","11.37","2.88","27.07","11.43","1.93","5.15","5.48","11.85","12.17","18.6","21.11","14.81","18.62","9.36","23.15","33.03","30.04","1.26","0.92","15.18","82.62","6.93"
"[2016-07-29 14:20:00,2016-07-29 14:40:00)","6.33","0","10.74","4.15","25.16","9.96","0","4.13","5.11","8.87","11.11","47.67","28.12","0","43.28","31.77","0","38.64","18.64","0.82","1.12","0","60.69","6.53"
"[2016-07-29 14:40:00,2016-07-29 15:00:00)","8.3","5.71","0","18.65","0","10.3","1.02","5.2","5.53","0","12.51","61.34","0","9.79","19.85","0","12.24","65.56","22.62","0.95","1.01","8.02","59.15","6.76"
"[2016-07-29 15:00:00,2016-07-29 15:20:00)","5.48","6.69","8.66","3.0","17.36","7.96","3.06","3.46","4.29","7.38","9.77","24.87","14.09","29.43","15.82","9.58","16.21","59.83","90.75","0.81","0.7","10.33","44.73","5.51"
"[2016-07-29 15:20:00,2016-07-29 15:40:00)","9.28","9.22","8.7","2.02","20.72","11.91","1.65","9.04","5.09","9.16","14.61","53.44","15.63","25.4","19.31","9.24","19.75","52.64","21.27","0.89","0.81","12.95","49.3","9.95"
"[2016-07-29 15:40:00,2016-07-29 16:00:00)","6.75","10.16","10.58","4.69","22.75","7.24","1.71","4.98","5.14","10.07","10.39","17.19","16.31","19.81","15.42","10.02","21.25","33.68","19.72","0.89","0.76","12.8","34.67","5.86"
"[2016-07-29 16:00:00,2016-07-29 16:20:00)","7.32","6.7","8.66","1.64","36.67","11.57","1.6","4.92","5.44","7.72","15.81","61.49","31.77","23.91","16.58","8.9","13.66","40.08","18.5","0.91","0.89","10.51","42.35","7.48"
"[2016-07-29 16:20:00,2016-07-29 16:40:00)","10.77","7.12","14.61","5.67","58.53","16.22","1.27","7.04","6.8","14.3","15.46","57.72","24.46","47.03","22.89","14.44","19.7","55.49","122.5","1.04","1.04","10.0","85.85","8.84"
"[2016-07-29 16:40:00,2016-07-29 17:00:00)","8.09","11.39","10.83","2.38","26.74","11.16","3.54","6.84","6.25","11.05","12.09","59.03","32.1","27.2","21.07","8.62","22.86","60.81","50.82","1.52","1.1","74.9","84.96","6.6"
"[2016-07-29 17:00:00,2016-07-29 17:20:00)","8.15","0","0","6.84","0","8.85","0","9.51","6.04","0","13.4","23.5","0","0","20.64","0","0","55.48","24.71","0.99","1.08","0","68.81","7.27"
"[2016-07-29 17:20:00,2016-07-29 17:40:00)","5.54","7.26","9.44","2.07","23.34","9.24","1.14","4.62","6.1","10.11","9.72","36.69","15.13","10.93","0","8.86","16.29","45.72","0","0","1.03","22.23","43.18","6.62"
"[2016-07-29 17:40:00,2016-07-29 18:00:00)","6.56","11.2","11.6","3.35","31.54","8.62","1.99","5.72","6.15","14.02","15.27","42.57","41.17","15.5","22.56","9.92","28.66","72.69","47.59","1.54","1.03","15.66","48.51","6.78"
"[2016-07-29 18:00:00,2016-07-29 18:20:00)","7.66","8.2","9.44","12.21","26.94","10.26","1.57","6.89","7.24","9.17","15.26","30.82","24.9","27.91","21.15","9.6","16.77","61.18","26.69","0.98","1.29","27.37","25.89","8.79"
"[2016-07-29 18:20:00,2016-07-29 18:40:00)","5.76","18.65","8.9","1.9","78.02","9.29","1.59","4.27","5.36","8.5","16.6","11.6","13.23","16.98","18.96","8.4","19.4","59.77","42.35","1.01","0.94","11.77","33.28","6.68"
"[2016-07-29 18:40:00,2016-07-29 19:00:00)","8.23","14.55","0","2.46","0","10.08","1.5","4.7","5.39","0","12.8","30.48","0","23.59","17.7","0","27.04","67.43","38.62","1.27","1.0","13.22","77.38","7.0"
"[2016-07-29 19:00:00,2016-07-29 19:20:00)","7.62","10.38","19.02","3.37","42.68","8.58","1.85","3.77","4.69","19.6","9.28","66.32","38.89","17.49","24.08","14.33","22.25","22.13","18.77","1.46","0.71","14.58","36.33","4.97"
"[2016-07-29 19:20:00,2016-07-29 19:40:00)","10.19","0","0","5.39","0","13.59","0","8.22","11.11","0","14.87","56.31","0","0","21.53","0","0","40.61","31.54","1.47","1.33","0","46.06","8.2"
"[2016-07-29 19:40:00,2016-07-29 20:00:00)","5.89","0","10.46","6.62","34.97","9.25","0","5.59","6.58","12.25","23.32","40.55","39.43","0","19.78","10.57","0","38.28","22.97","0.86","1.09","0","55.99","9.59"
"[2016-07-29 20:00:00,2016-07-29 20:20:00)","8.06","7.46","9.94","2.57","28.02","10.0","1.94","4.26","5.3","11.9","11.32","15.8","52.88","171.31","21.84","9.06","15.8","33.47","49.77","1.19","0.93","11.44","60.57","6.78"
"[2016-07-29 20:20:00,2016-07-29 20:40:00)","8.43","6.39","0","3.1","0","11.27","1.55","5.72","5.72","0","11.89","19.73","0","36.69","18.8","0","14.33","23.55","25.19","0.77","1.01","10.42","54.78","7.0"
"[2016-07-29 20:40:00,2016-07-29 21:00:00)","8.88","0","0","7.41","0","6.01","0","4.56","5.53","0","11.67","14.9","0","0","20.78","0","0","35.0","22.81","1.04","1.07","0","25.98","6.56"
"[2016-07-29 21:00:00,2016-07-29 21:20:00)","6.85","11.3","12.36","5.04","44.59","9.66","3.49","4.39","6.65","12.74","15.7","55.32","55.65","59.69","19.25","12.08","18.48","68.31","23.11","0.94","1.32","15.74","51.91","6.72"
"[2016-07-29 21:20:00,2016-07-29 21:40:00)","10.01","36.0","9.3","3.74","27.55","23.3","2.85","3.99","4.75","8.07","9.51","55.04","17.78","32.22","0","11.12","45.37","147.97","0","0","0.98","22.41","24.46","5.19"
"[2016-07-29 21:40:00,2016-07-29 22:00:00)","6.56","6.2","7.47","2.31","34.75","9.32","0.99","2.96","3.79","7.4","10.46","55.44","18.83","32.54","18.52","5.56","14.09","30.9","21.22","0.88","0.68","55.85","35.28","4.61"
"[2016-07-29 22:00:00,2016-07-29 22:20:00)","9.4","0","0","4.45","0","12.64","0","4.22","4.51","0","16.57","81.69","0","0","16.1","0","0","30.82","20.39","0.83","0.69","0","21.91","6.17"
"[2016-07-29 22:20:00,2016-07-29 22:40:00)","9.78","0","0","3.09","0","19.36","0","3.06","3.92","0","16.17","50.86","0","0","18.06","0","0","17.02","20.73","0.92","0.71","0","31.95","6.9"
"[2016-07-29 22:40:00,2016-07-29 23:00:00)","8.63","5.87","0","2.47","0","12.04","1.65","2.94","3.57","0","9.36","17.19","0","21.43","16.89","0","13.51","15.32","25.13","0.76","0.54","9.94","40.93","5.05"
"[2016-07-29 23:00:00,2016-07-29 23:20:00)","7.27","0","0","3.91","0","13.5","0","4.22","5.52","0","10.6","55.51","0","0","0","0","0","37.08","0","0","1.23","0","45.96","4.84"
"[2016-07-29 23:20:00,2016-07-29 23:40:00)","10.16","0","9.48","7.63","22.06","13.97","0","2.91","3.61","9.34","9.58","21.74","19.51","0","15.7","7.91","0","12.96","16.25","0.74","0.56","0","44.42","4.94"
"[2016-07-29 23:40:00,2016-07-30 00:00:00)","6.18","5.9","8.18","4.06","19.56","8.88","1.63","3.82","4.5","7.62","12.25","21.71","13.07","21.46","0","8.64","12.27","26.49","0","0","0.76","9.31","31.53","6.63"
"[2016-07-30 00:00:00,2016-07-30 00:20:00)","7.11","0","0","5.03","0","11.68","0","0","0","0","0","46.5","0","0","0","0","0","0","0","0","0","0","55.03","0"
"[2016-07-30 00:20:00,2016-07-30 00:40:00)","8.35","0","0","6.09","0","11.23","0","4.61","5.6","0","10.67","64.11","0","0","31.46","0","0","0","19.21","1.94","0","0","37.79","6.0"
"[2016-07-30 00:40:00,2016-07-30 01:00:00)","6.32","8.7","0","3.32","0","9.69","2.03","32.69","3.82","0","9.93","56.67","0","30.15","12.31","0","17.07","21.28","17.49","0.51","0.81","12.36","44.98","13.48"
"[2016-07-30 01:00:00,2016-07-30 01:20:00)","7.3","0","0","3.6","0","12.46","0","0","0","0","0","16.8","0","0","0","0","0","0","0","0","0","0","38.64","0"
"[2016-07-30 01:20:00,2016-07-30 01:40:00)","7.89","0","0","13.67","0","13.46","0","2.88","3.77","0","10.86","39.15","0","0","13.16","0","0","23.24","20.89","0.71","0.68","0","36.53","4.87"
"[2016-07-30 01:40:00,2016-07-30 02:00:00)","8.35","7.29","9.21","13.82","19.59","12.36","1.58","3.22","5.04","9.27","12.12","41.83","14.65","26.91","13.16","9.12","20.91","28.35","15.59","0.63","0.73","10.38","38.56","5.35"
"[2016-07-30 02:00:00,2016-07-30 02:20:00)","10.16","0","0","3.72","0","9.21","0","3.64","4.87","0","8.72","81.08","0","0","0","0","0","22.42","0","0","0.81","0","56.78","5.37"
"[2016-07-30 02:40:00,2016-07-30 03:00:00)","0","0","0","0","0","0","0","3.73","4.38","0","15.38","0","0","0","0","0","0","43.0","0","0","0.66","0","0","6.47"
"[2016-07-30 03:00:00,2016-07-30 03:20:00)","3.17","0","0","4.02","0","23.4","0","2.64","3.37","0","8.78","59.2","0","0","14.12","0","0","20.18","15.72","0.64","0.54","0","38.53","5.14"
"[2016-07-30 03:20:00,2016-07-30 03:40:00)","10.71","0","0","4.25","0","14.41","0","3.8","4.84","0","11.88","22.35","0","0","13.98","0","0","37.66","18.39","0.64","1.03","0","44.19","5.94"
"[2016-07-30 03:40:00,2016-07-30 04:00:00)","6.82","0","0","2.7","0","9.17","0","3.01","3.54","0","29.54","14.23","0","0","0","0","0","16.08","0","0","0.53","0","23.55","5.55"
"[2016-07-30 04:00:00,2016-07-30 04:20:00)","9.63","0","0","2.9","0","8.05","0","4.03","45.81","0","8.77","21.45","0","0","0","0","0","24.43","0","0","0.92","0","24.87","8.28"
"[2016-07-30 04:20:00,2016-07-30 04:40:00)","7.76","0","0","3.08","0","10.44","0","5.63","3.22","0","11.07","16.2","0","0","0","0","0","20.38","0","0","0.48","0","28.29","4.42"
"[2016-07-30 04:40:00,2016-07-30 05:00:00)","5.18","0","0","4.88","0","9.53","0","2.52","5.45","0","10.2","89.46","0","0","21.78","0","0","23.25","29.58","1.24","0.59","0","46.66","5.23"
"[2016-07-30 05:00:00,2016-07-30 05:20:00)","0","0","0","0","0","0","0","3.53","4.1","0","24.09","0","0","0","22.05","0","0","35.25","40.31","0.83","1.12","0","39.72","10.13"
"[2016-07-30 05:20:00,2016-07-30 05:40:00)","0","0","0","0","0","0","0","2.77","3.61","0","9.39","0","0","0","12.62","0","0","18.18","14.76","0.65","0.75","0","22.14","4.47"
"[2016-07-30 05:40:00,2016-07-30 06:00:00)","0","5.94","8.55","1.63","19.45","0","1.7","3.27","4.2","8.07","11.16","8.55","14.07","19.78","15.61","9.47","12.72","20.4","16.24","0.62","0.7","8.87","38.06","5.05"
"[2016-07-30 06:00:00,2016-07-30 06:20:00)","8.64","9.64","0","18.03","0","11.61","1.72","3.69","4.45","0","11.61","18.02","0","16.53","14.41","0","20.66","21.4","16.34","0.74","0.75","13.54","22.98","6.22"
"[2016-07-30 06:20:00,2016-07-30 06:40:00)","4.24","5.78","7.36","1.36","17.29","7.24","1.07","3.25","5.28","7.04","10.5","7.5","16.77","12.75","0","8.21","10.37","17.87","0","0","0.71","38.3","0","5.81"
"[2016-07-30 06:40:00,2016-07-30 07:00:00)","4.32","8.82","13.75","2.06","30.75","5.81","0.65","4.19","4.98","14.17","11.8","10.86","20.88","6.29","20.2","11.23","18.89","25.06","23.15","1.0","1.07","6.7","51.72","6.26"
"[2016-07-30 07:00:00,2016-07-30 07:20:00)","6.54","8.79","15.2","3.27","32.97","8.91","1.93","3.35","4.05","15.67","9.71","50.11","36.21","16.12","14.1","12.42","26.59","19.91","16.9","0.75","0.8","13.57","30.61","5.45"
"[2016-07-30 07:20:00,2016-07-30 07:40:00)","5.68","44.59","13.34","3.29","29.83","10.51","1.48","4.44","4.91","13.75","11.84","14.79","26.77","29.61","14.72","10.89","16.38","26.53","35.38","1.01","0.82","22.5","44.14","6.64"
"[2016-07-30 07:40:00,2016-07-30 08:00:00)","5.18","9.72","7.91","15.0","24.59","6.39","1.76","4.7","5.67","9.62","11.05","19.59","17.49","55.52","15.2","7.42","23.01","34.6","22.61","0.82","0.99","13.57","51.93","5.96"
"[2016-07-30 08:00:00,2016-07-30 08:20:00)","4.96","6.8","0","3.22","0","6.39","0.82","5.04","8.38","0","14.65","33.27","0","8.57","16.98","0","13.32","85.3","28.74","1.04","0.87","46.52","66.88","6.72"
"[2016-07-30 08:20:00,2016-07-30 08:40:00)","9.77","5.63","11.32","4.64","22.38","15.51","1.0","5.62","5.44","101.5","10.92","27.91","22.04","9.65","20.37","9.25","12.07","39.9","18.01","1.12","0.97","7.91","67.34","8.12"
"[2016-07-30 08:40:00,2016-07-30 09:00:00)","5.88","8.9","9.46","3.69","26.68","7.82","1.17","4.64","7.56","11.87","12.03","33.85","18.37","44.51","15.95","12.34","13.96","52.12","23.99","1.11","0.84","28.39","55.26","7.85"
"[2016-07-30 09:00:00,2016-07-30 09:20:00)","4.85","4.66","14.94","14.85","33.87","9.68","0.93","6.48","5.0","15.49","11.3","18.76","35.37","7.52","18.05","12.27","10.09","53.75","39.85","1.06","0.81","6.8","64.04","7.11"
"[2016-07-30 09:20:00,2016-07-30 09:40:00)","6.75","7.8","14.76","6.66","37.94","10.77","1.24","7.66","8.07","15.21","14.28","39.36","26.28","67.15","23.21","13.55","18.76","65.18","91.2","1.37","0.96","11.25","52.88","9.57"
"[2016-07-30 09:40:00,2016-07-30 10:00:00)","6.84","7.54","12.66","4.23","30.14","9.16","1.58","5.12","6.27","12.11","12.07","29.74","23.37","14.73","17.47","10.78","16.75","109.79","51.14","0.87","0.98","11.37","73.88","7.0"
"[2016-07-30 10:00:00,2016-07-30 10:20:00)","12.47","7.57","11.56","2.69","28.8","16.91","1.35","9.22","7.61","11.91","16.34","38.08","42.0","10.32","25.14","10.73","16.23","112.32","27.99","1.12","1.33","10.64","70.94","9.54"
"[2016-07-30 10:20:00,2016-07-30 10:40:00)","14.67","0","0","11.45","0","19.78","0","5.32","5.65","0","16.3","26.37","0","0","19.5","0","0","73.25","36.18","1.28","0.91","0","43.09","8.82"
"[2016-07-30 10:40:00,2016-07-30 11:00:00)","7.97","6.87","10.25","4.43","32.83","9.19","1.89","7.12","6.77","12.38","21.9","52.14","29.75","16.76","31.38","9.06","15.68","78.07","43.12","1.43","1.06","10.12","58.51","11.93"
"[2016-07-30 11:00:00,2016-07-30 11:20:00)","7.12","8.27","9.97","4.52","25.46","11.9","1.69","5.04","5.71","11.01","11.09","31.82","30.42","61.7","19.14","8.29","17.35","38.06","41.68","1.03","1.09","11.1","55.59","7.33"
"[2016-07-30 11:20:00,2016-07-30 11:40:00)","6.41","12.45","11.51","3.81","22.27","10.35","1.21","4.16","5.13","8.43","10.17","42.17","30.38","11.53","18.91","9.81","22.77","27.07","27.64","0.88","0.77","20.41","56.31","5.35"
"[2016-07-30 11:40:00,2016-07-30 12:00:00)","8.19","6.43","12.76","7.74","37.27","11.07","1.13","5.3","5.36","15.19","9.99","66.06","26.75","13.95","20.33","10.64","15.32","48.38","24.09","1.19","0.84","8.64","48.86","5.3"
"[2016-07-30 12:00:00,2016-07-30 12:20:00)","8.29","5.95","9.45","19.12","21.83","10.38","1.38","4.92","5.56","8.03","12.45","30.73","19.52","34.5","17.04","9.0","12.87","25.85","30.63","1.15","0.98","8.43","65.17","6.8"
"[2016-07-30 12:20:00,2016-07-30 12:40:00)","7.38","5.28","10.17","3.71","22.52","8.71","6.01","4.48","5.08","10.03","11.91","37.41","33.24","20.25","20.07","9.29","12.96","38.45","28.25","0.98","0.89","8.09","48.31","6.61"
"[2016-07-30 12:40:00,2016-07-30 13:00:00)","12.16","5.71","9.28","5.66","24.19","14.45","3.49","3.51","4.31","9.81","9.73","43.98","46.58","18.39","19.16","7.96","12.71","21.13","35.44","1.03","0.74","7.94","60.56","5.55"
"[2016-07-30 13:00:00,2016-07-30 13:20:00)","6.12","5.54","9.4","2.76","19.81","8.66","1.33","3.92","4.24","9.6","9.5","46.8","14.02","14.53","15.7","8.31","17.45","29.19","77.27","0.92","0.63","9.46","94.47","4.89"
"[2016-07-30 13:20:00,2016-07-30 13:40:00)","8.67","8.81","10.55","14.55","32.12","10.39","1.52","3.98","5.21","11.41","11.91","35.01","23.28","14.24","16.79","8.41","20.25","27.2","18.21","1.6","0.98","14.38","67.83","6.26"
"[2016-07-30 13:40:00,2016-07-30 14:00:00)","8.8","4.84","8.93","2.69","25.3","9.21","0.82","4.51","5.11","9.29","11.47","27.87","82.32","7.88","18.09","7.86","10.37","27.98","22.65","0.91","0.95","18.17","56.11","5.94"
"[2016-07-30 14:00:00,2016-07-30 14:20:00)","12.01","9.0","8.41","27.25","19.61","12.13","1.61","4.11","4.26","9.47","11.0","35.48","23.62","15.43","16.03","7.52","23.51","35.47","22.9","0.82","0.74","12.65","72.49","5.68"
"[2016-07-30 14:20:00,2016-07-30 14:40:00)","8.58","13.75","0","3.2","0","12.26","1.92","5.33","5.75","0","11.18","28.55","0","186.93","23.63","0","29.47","27.6","20.79","1.58","0.98","15.25","35.83","6.51"
"[2016-07-30 14:40:00,2016-07-30 15:00:00)","6.61","11.76","9.69","2.92","60.7","9.68","2.26","7.76","6.92","11.91","15.23","32.09","31.28","13.29","16.12","7.76","25.2","31.0","21.72","0.82","0.95","76.02","63.64","7.98"
"[2016-07-30 15:00:00,2016-07-30 15:20:00)","7.64","9.57","0","5.43","0","10.65","1.71","5.4","5.91","0","12.2","23.06","0","70.74","20.52","0","20.51","20.88","29.57","1.4","0.79","13.45","60.61","6.16"
"[2016-07-30 15:20:00,2016-07-30 15:40:00)","7.9","20.52","20.06","3.47","35.76","9.42","3.88","5.15","7.48","17.61","10.37","62.73","25.09","22.62","23.93","17.03","27.04","6.68","42.07","2.47","0.33","168.12","63.14","6.17"
"[2016-07-30 15:40:00,2016-07-30 16:00:00)","6.23","23.36","9.39","2.8","27.69","9.92","2.31","12.63","64.43","10.81","10.52","74.61","16.92","22.64","18.68","9.06","46.34","10.91","36.37","3.58","0.48","19.98","64.74","11.29"
"[2016-07-30 16:00:00,2016-07-30 16:20:00)","6.67","0","7.71","1.09","23.26","8.9","0","7.33","6.96","7.34","24.26","95.6","30.93","0","20.05","11.81","0","6.39","20.99","1.36","0.28","0","63.69","15.93"
"[2016-07-30 16:20:00,2016-07-30 16:40:00)","5.16","13.84","9.76","2.37","34.66","7.63","1.7","9.7","9.1","9.03","66.59","13.64","25.32","11.31","27.81","9.84","29.65","8.07","33.39","2.37","0.35","19.44","50.24","22.28"
"[2016-07-30 16:40:00,2016-07-30 17:00:00)","6.47","10.76","17.09","3.27","49.89","8.84","1.06","40.46","6.52","16.83","66.09","42.78","23.57","10.22","16.54","15.17","23.06","0","46.34","1.65","0","13.45","60.3","61.67"
